""
"",School Short Name,,Facility ID,,Sample ID #,,Sample Location,,"Sample CollectionTime & Date",,Test Result (ppb),,Test Results,
"",Collins,51569,51569-B-KIT-KS01-001,"Main- Basement Kitchen 3 Compartment Sink, Left Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS01-002,"Main- Basement Kitchen 3 Compartment Sink, Left Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS01-003,"Main- Basement Kitchen 3 Compartment Sink, Left Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS01-004,"Main- Basement Kitchen 3 Compartment Sink, Left Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS01-005,"Main- Basement Kitchen 3 Compartment Sink, Left Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS02-001,"Main- Basement Kitchen 3 Compartment Sink, Right Faucet",10/14/16 6:00 AM,4.4,BA,,,,,,,
"",Collins,51569,51569-B-KIT-KS02-002,"Main- Basement Kitchen 3 Compartment Sink, Right Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS02-003,"Main- Basement Kitchen 3 Compartment Sink, Right Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS02-004,"Main- Basement Kitchen 3 Compartment Sink, Right Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS02-005,"Main- Basement Kitchen 3 Compartment Sink, Right Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS03-001,"Main- Basement Kitchen 3 Compartment Sink, Center Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS03-002,"Main- Basement Kitchen 3 Compartment Sink, Center Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS03-003,"Main- Basement Kitchen 3 Compartment Sink, Center Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS03-004,"Main- Basement Kitchen 3 Compartment Sink, Center Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS03-005,"Main- Basement Kitchen 3 Compartment Sink, Center Faucet",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS04-001,"Main- Basement Kitchen By Freezer, Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS04-002,"Main- Basement Kitchen By Freezer, Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS04-003,"Main- Basement Kitchen By Freezer, Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS04-004,"Main- Basement Kitchen By Freezer, Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS04-005,"Main- Basement Kitchen By Freezer, Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-ST05-001,Main- Basement Kitchen Stove Top Faucet,10/14/16 6:00 AM,290,AA,,,,,,,
"",Collins,51569,51569-B-KIT-ST05-002,Main- Basement Kitchen Stove Top Faucet,10/14/16 6:00 AM,80,AA,,,,,,,
"",Collins,51569,51569-B-KIT-ST05-003,Main- Basement Kitchen Stove Top Faucet,10/14/16 6:00 AM,21,AA,,,,,,,
"",Collins,51569,51569-B-KIT-ST05-004,Main- Basement Kitchen Stove Top Faucet,10/14/16 6:00 AM,22,AA,,,,,,,
"",Collins,51569,51569-B-KIT-ST05-005,Main- Basement Kitchen Stove Top Faucet,10/14/16 6:00 AM,27,AA,,,,,,,
"",Collins,51569,51569-B-KIT-TS06-001,"Main- Basement Kitchen Tilted Skillet, Toward West Wall, Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-TS06-002,"Main- Basement Kitchen Tilted Skillet, Toward West Wall, Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-TS06-003,"Main- Basement Kitchen Tilted Skillet, Toward West Wall, Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-TS06-004,"Main- Basement Kitchen Tilted Skillet, Toward West Wall, Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-TS06-005,"Main- Basement Kitchen Tilted Skillet, Toward West Wall, Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS07-001,"Main- Basment Kitchen, In Front of Stove, Island Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS07-002,"Main- Basment Kitchen, In Front of Stove, Island Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS07-003,"Main- Basment Kitchen, In Front of Stove, Island Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS07-004,"Main- Basment Kitchen, In Front of Stove, Island Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-KIT-KS07-005,"Main- Basment Kitchen, In Front of Stove, Island Sink",10/14/16 6:00 AM,<2.0,ND,,,,,,,
"",Collins,51569,51569-B-HAL-F08-001,"Main- Basement Outside Kitchen, Fountain",10/14/16 6:00 AM,30,AA,,,,,,,
"",7.1,BA,,,,,,
"",Collins,51569,51569-3-KIT-KS04-004,"Main- 3rd Floor Kitchen, Sink",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-3-KIT-KS04-005,"Main- 3rd Floor Kitchen, Sink",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-1-HAL-WC01-001,"Main- 1st Floor Across From Room 114, Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-1-HAL-WC01-002,"Main- 1st Floor Across From Room 114, Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-1-HAL-WC01-003,"Main- 1st Floor Across From Room 114, Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-1-HAL-WC01-004,"Main- 1st Floor Across From Room 114, Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-1-HAL-WC01-005,"Main- 1st Floor Across From Room 114, Fountain",10/14/16 6:00 AM,<2.0,ND,
"",<2.0,ND,,,,,,
"",Collins,51569,51569-1-HAL-F02-002,"Main- 1st Floor Across From Room 139, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-1-HAL-F02-003,"Main- 1st Floor Across From Room 139, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-1-HAL-F02-004,"Main- 1st Floor Across From Room 139, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-1-HAL-F02-005,"Main- 1st Floor Across From Room 139, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-1-HAL-F03-001,"Main- 1st Floor Across From Room 139, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-1-HAL-F03-002,"Main- 1st Floor Across From Room 139, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-1-HAL-F03-003,"Main- 1st Floor Across From Room 139, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-1-HAL-F03-004,"Main- 1st Floor Across From Room 139, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,51569,51569-1-HAL-F03-005,"Main- 1st Floor Across From Room 139, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59561,59561-1-HAL-WC01-001,"Art Building- Outside Room 156A- North Corridor, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59561,59561-1-HAL-WC01-002,"Art Building- Outside Room 156A- North Corridor, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59561,59561-1-HAL-WC01-003,"Art Building- Outside Room 156A- North Corridor, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59561,59561-1-HAL-WC01-004,"Art Building- Outside Room 156A- North Corridor, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59561,59561-1-HAL-WC01-005,"Art Building- Outside Room 156A- North Corridor, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59561,59561-1-HAL-WC02-001,"Art Building- Outside Room 156A- North Corridor, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59561,59561-1-HAL-WC02-002,"Art Building- Outside Room 156A- North Corridor, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59561,59561-1-HAL-WC02-003,"Art Building- Outside Room 156A- North Corridor, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59561,59561-1-HAL-WC02-004,"Art Building- Outside Room 156A- North Corridor, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59561,59561-1-HAL-WC02-005,"Art Building- Outside Room 156A- North Corridor, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59561,59561-1-HAL-WC03-001,"Art Building- Outside Room 156B- North Corridor, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59561,59561-1-HAL-WC03-002,"Art Building- Outside Room 156B- North Corridor, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59561,59561-1-HAL-WC03-003,"Art Building- Outside Room 156B- North Corridor, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59561,59561-1-HAL-WC03-004,"Art Building- Outside Room 156B- North Corridor, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59561,59561-1-HAL-WC03-005,"Art Building- Outside Room 156B- North Corridor, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59561,59561-1-HAL-WC04-001,"Art Building- Outside Room 156B- North Corridor, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59561,9561-1-HAL-WC04-002,"Art Building- Outside Room 156B- North Corridor, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59561,59561-1-HAL-WC04-003,"Art Building- Outside Room 156B- North Corridor, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59561,59561-1-HAL-WC04-004,"Art Building- Outside Room 156B- North Corridor, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59561,59561-1-HAL-WC04-005,"Art Building- Outside Room 156B- North Corridor, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-HAL-WC01-001,"Physical Ed Building-  Across From Room 123, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-HAL-WC01-002,"Physical Ed Building-  Across From Room 123, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59561-1-HAL-WC01-003,"Physical Ed Building-  Across From Room 123, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-HAL-WC01-004,"Physical Ed Building-  Across From Room 123, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-HAL-WC01-005,"Physical Ed Building-  Across From Room 123, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-HAL-WC02-001,"Physical Ed Building-  Across From Room 123, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-HAL-WC02-002,"Physical Ed Building-  Across From Room 123, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-HAL-WC02-003,"Physical Ed Building-  Across From Room 123, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-HAL-WC02-004,"Physical Ed Building-  Across From Room 123, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-HAL-WC02-005,"Physical Ed Building-  Across From Room 123, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-POOL-WC03-001,"Physical Ed Building- Pool Fountain, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-POOL-WC03-002,"Physical Ed Building- Pool Fountain, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-POOL-WC03-003,"Physical Ed Building- Pool Fountain, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-POOL-WC03-004,"Physical Ed Building- Pool Fountain, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-POOL-WC03-005,"Physical Ed Building- Pool Fountain, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-POOL-WC04-001,"Physical Ed Building- Pool Fountain, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-POOL-WC04-002,"Physical Ed Building- Pool Fountain, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-POOL-WC04-003,"Physical Ed Building- Pool Fountain, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-POOL-WC04-004,"Physical Ed Building- Pool Fountain, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",<2.0,ND,,,,,,
"",Collins,59651,59651-1-LR-WC05-001,"Physical Ed Building- Boys Locker Room, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-LR-WC05-002,"Physical Ed Building- Boys Locker Room, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-LR-WC05-003,"Physical Ed Building- Boys Locker Room, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-LR-WC05-004,"Physical Ed Building- Boys Locker Room, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-LR-WC05-005,"Physical Ed Building- Boys Locker Room, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-LR-WC06-001,"Physical Ed Building- Boys Locker Room, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-LR-WC06-002,"Physical Ed Building- Boys Locker Room, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-LR-WC06-003,"Physical Ed Building- Boys Locker Room, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-LR-WC06-004,"Physical Ed Building- Boys Locker Room, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-LR-WC06-005,"Physical Ed Building- Boys Locker Room, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-LR-WC07-001,"Physical Ed Building- Girls Locker Room, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-LR-WC07-002,"Physical Ed Building- Girls Locker Room, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-LR-WC07-003,"Physical Ed Building- Girls Locker Room, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-LR-WC07-004,"Physical Ed Building- Girls Locker Room, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-LR-WC07-005,"Physical Ed Building- Girls Locker Room, Left Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-LR-WC08-001,"Physical Ed Building- Girls Locker Room, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-LR-WC08-002,"Physical Ed Building- Girls Locker Room, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
"",Collins,59651,59651-1-LR-WC08-003,"Physical Ed Building- Girls Locker Room, Right Fountain",10/14/16 6:00 AM,<2.0,ND,
